3400 chunks cray file
xxthreads.txt files

Times: total run time (elapsed)
Typical Kerchunk time: (Time of _via_kerchunk()) [7.3, 6.6, 6.4, 6.6, 6.4, 6.0, 6.4, 6.8, 6.9]

| Threads | Times | Average |
-----------------------------
| 005 | [50.0, 48.9, 48.5] | 49.1 |
| 010 | [37.3, 31.4, 35.7] | 34.8 |
| 020 | [26.8, 26.8, 27.2] | 26.9 |
| 030 | [22.9, 26.0, 25.9] | 24.9 |
| 040 | [26.1, 25.3, 24.7] | 25.3 |
| 050 | [24.8, 23.4, 22.1] | 23.4 |
| 060 | [24.3, 23.5, 23.1] | 23.6 |
| 070 | [22.3, 23.7, 24.1] | 23.4 |
| 080 | [23.7, 22.7, 23.4] | 23.3 |
| 090 | [25.2, 23.9, 24.2] | 24.4 |
| 100 | [21.6, 24.2, 26.9] | 24.2 |
| 110 | [22.6, 23.8, 23.4] | 23.3 |
| 120 | [26.5, 25.3, 24.7] | 25.5 |
| 130 | [24.3, 23.9, 24.3] | 24.2 |
| 140 | [21.7, 25.6, 25.3] | 24.2 |
| 150 | [21.9, 24.3, 24.4] | 23.5 |
